tanggal_lengkap,cabe_rawit_merah,lag_1
2023-09-20,30000.0,27000.0
2023-09-21,26000.0,30000.0
2023-09-22,26000.0,26000.0
2023-09-23,26000.0,26000.0
2023-09-24,26000.0,26000.0
2023-09-25,26000.0,26000.0
2023-09-26,27000.0,26000.0
2023-09-27,25000.0,27000.0
2023-09-28,25000.0,25000.0
2023-09-29,25000.0,25000.0
2023-09-30,25000.0,25000.0
2023-10-01,25000.0,25000.0
2023-10-02,25000.0,25000.0
2023-10-03,32000.0,25000.0
2023-10-04,32000.0,32000.0
2023-10-05,40000.0,32000.0
2023-10-06,40000.0,40000.0
2023-10-07,40000.0,40000.0
2023-10-08,40000.0,40000.0
2023-10-09,37000.0,40000.0
2023-10-10,42000.0,37000.0
2023-10-11,36000.0,42000.0
2023-10-12,36000.0,36000.0
2023-10-13,38000.0,36000.0
2023-10-14,38000.0,38000.0
2023-10-15,38000.0,38000.0
2023-10-16,45000.0,38000.0
2023-10-17,45000.0,45000.0
2023-10-18,45000.0,45000.0
2023-10-19,45000.0,45000.0
2023-10-20,45000.0,45000.0
2023-10-21,46000.0,45000.0
2023-10-22,46000.0,46000.0
2023-10-23,57000.0,46000.0
2023-10-24,57000.0,57000.0
2023-10-25,57000.0,57000.0
2023-10-26,55000.0,57000.0
2023-10-27,65000.0,55000.0
2023-10-28,65000.0,65000.0
2023-10-29,65000.0,65000.0
2023-10-30,70000.0,65000.0
2023-10-31,70000.0,70000.0
2023-11-01,70000.0,70000.0
2023-11-02,63000.0,70000.0
2023-11-03,63000.0,63000.0
2023-11-04,63000.0,63000.0
2023-11-05,63000.0,63000.0
2023-11-06,67000.0,63000.0
2023-11-07,70000.0,67000.0
2023-11-08,72000.0,70000.0
2023-11-09,72000.0,72000.0
2023-11-10,72000.0,72000.0
2023-11-11,72000.0,72000.0
2023-11-12,72000.0,72000.0
2023-11-13,73000.0,72000.0
2023-11-14,75000.0,73000.0
2023-11-15,75000.0,75000.0
2023-11-16,78000.0,75000.0
2023-11-17,78000.0,78000.0
2023-11-18,78000.0,78000.0
2023-11-19,78000.0,78000.0
2023-11-20,90000.0,78000.0
2023-11-21,95000.0,90000.0
2023-11-22,85000.0,95000.0
2023-11-23,90000.0,85000.0
2023-11-24,80000.0,90000.0
2023-11-25,80000.0,80000.0
2023-11-26,80000.0,80000.0
